ID,Время_создания,пол,возраст,отношение,"Какие событийные мероприятия, по Вашему мнению, будут интересны жителям и гостям города?"
1551474168,2023-11-22 12:10:25,жен,36 - 45 лет,положительное,Экскурсии по историческим местам Алексинского района
1551473822,2023-11-22 12:10:07,жен,36 - 45 лет,положительное,Экскурсии по достопримечательностям города
1551473201,2023-11-22 12:09:32,жен,до 35 лет,положительное,Экскурсии по историческим местам 
1551392407,2023-11-22 11:00:47,жен,46 - 55 лет,положительное,лето во дворах
1551309107,2023-11-22 09:49:07,муж,старше 55 лет,отрицательное,"Для жителей нужно благоустраивать город.  Деньги же жителей тратятся. Качели карусели, развитие парков. Создание спортивных объектов и бесплатных секций для разных возрастов."
1551305592,2023-11-22 09:45:45,муж,до 35 лет,положительное,Организация уличных шахматных турниров.
1551304891,2023-11-22 09:45:02,жен,36 - 45 лет,положительное,Организация турниров по настольному теннису среди дворовых команд. Нужно во дворах установить больше теннисных столов. 
1551300626,2023-11-22 09:40:49,жен,36 - 45 лет,положительное,Ярмарки 
1551294058,2023-11-22 09:34:30,жен,36 - 45 лет,положительное,Любые
1551074244,2023-11-22 00:04:26,жен,старше 55 лет,положительное,Исторический туризм
1550897250,2023-11-21 20:02:59,жен,36 - 45 лет,положительное,Сражение 1472 года 
1550875715,2023-11-21 19:41:27,муж,36 - 45 лет,отрицательное,День рыбака
1550847772,2023-11-21 19:14:42,жен,36 - 45 лет,положительное,Алексинское подворье
1550825475,2023-11-21 18:53:42,муж,36 - 45 лет,положительное,Фестиваль
1550751743,2023-11-21 17:42:54,жен,36 - 45 лет,положительное,"Концерты, "
1550711454,2023-11-21 17:06:00,жен,36 - 45 лет,положительное,"Я считаю, что нужно развивать детский и взрослый образовательный досуг, сферу здравоохранения и здоровья сбережения. При данных факторах город будет интересен для туризма и в первую очередь для жителей.   Мероприятия с медицинским уклоном например день здорового ребенка с приездом узких детских специалистов с передвижным оборудованием на неделю и приемом на обследование всех желающих детей, не только жителей Алексина. День театрального искусства  - проведение мастер-классов знаменитыми актерами, режиссерами и др. День изобразительного искусства, выставки работ местных художников, в том числе и детей, мастер-классы. Создание замкнутой пешеходной зоны от мкр.Шахтерский по всем МКР с точкой возврата в мкр. Шахтерский для проведения пеших оздоровительных прогулок по городу. Организация соревнований по финской ходьбе и спортивной ходьбе по данной пешеходной зоне. Пешеходную зону можно приурочить к мероприятию здоровое сердце. "
1550706583,2023-11-21 17:01:41,жен,46 - 55 лет,положительное,"Дикая мята, газон"
1550703740,2023-11-21 16:59:16,жен,36 - 45 лет,положительное,Фестивали
1550703237,2023-11-21 16:58:48,жен,46 - 55 лет,положительное,Фуникулер через Оку
1550703189,2023-11-21 16:58:46,жен,старше 55 лет,положительное,День города 
1550703061,2023-11-21 16:58:38,жен,46 - 55 лет,положительное,Затрудняюсь ответить
1550702465,2023-11-21 16:58:06,жен,46 - 55 лет,положительное,Нет такого
1550701297,2023-11-21 16:57:06,жен,36 - 45 лет,положительное,Спорт в жизни города
1550698676,2023-11-21 16:54:52,жен,46 - 55 лет,положительное,Затрудняюсь 
1550697938,2023-11-21 16:54:13,жен,36 - 45 лет,положительное,Фестивали и интерактивными точками. 
1550696771,2023-11-21 16:53:10,жен,до 35 лет,положительное,Набережная города Аоексин
1550694801,2023-11-21 16:51:23,жен,до 35 лет,положительное,Развлекательные
1550684303,2023-11-21 16:42:13,жен,46 - 55 лет,положительное,. 
1550672304,2023-11-21 16:31:27,жен,36 - 45 лет,положительное,+
1550668524,2023-11-21 16:28:10,муж,36 - 45 лет,положительное,Фестивали 
1550655018,2023-11-21 16:16:29,жен,46 - 55 лет,положительное,День города
1550647404,2023-11-21 16:10:14,жен,36 - 45 лет,положительное,Фестивали с музыкой и разными интерактивными уголками. 
1550646923,2023-11-21 16:09:50,жен,46 - 55 лет,положительное,"Культурно массовые, спортивные, музыкальные, театральные представления"
1550646254,2023-11-21 16:09:14,жен,36 - 45 лет,положительное,Создание набережной 
1550646149,2023-11-21 16:09:07,жен,46 - 55 лет,положительное,"Гастрономический фестиваль
Историческая реконструкция
Фестиваль резьбы по дереву
"
1550645965,2023-11-21 16:08:58,жен,до 35 лет,положительное,Современное развитие усадебного туризма
1550636075,2023-11-21 16:00:33,жен,36 - 45 лет,положительное,"Посещение храмов и ""святых"" источников, посещение музеев, мемориалов"
1550607205,2023-11-21 15:37:18,жен,36 - 45 лет,положительное,"Реконструкции исторических событий Алексина, фестиваль ""Зимние забавы"", спортивные мероприятия"
1550596061,2023-11-21 15:28:06,жен,до 35 лет,положительное,"Музыкальные, гастрономические, цветочные, национальные  и т.д фестивали "
1550582052,2023-11-21 15:16:20,жен,до 35 лет,положительное,праздники 
1550582048,2023-11-21 15:16:20,жен,36 - 45 лет,положительное,Все
1550570173,2023-11-21 15:07:00,жен,старше 55 лет,положительное,Экскурсии по историческим местам Алексинского района
1550565740,2023-11-21 15:03:25,муж,36 - 45 лет,положительное,"Ночь музеев. Крестный ход. День рыбака. различные Турслеты (активные напр. Скитулец, сплав на байдарках и творческие напр. Встреча бардов у костра ""Алебарды""), фестиваль ""Дикая мята"". Также основные праздники: Новый год, Масленичные гуляния и т д "
1550565049,2023-11-21 15:02:52,жен,36 - 45 лет,положительное,Дикая мята
1550564959,2023-11-21 15:02:48,жен,46 - 55 лет,положительное,"Краеведческий музей, жаренский источник"
1550557992,2023-11-21 14:57:10,жен,36 - 45 лет,положительное,История города 
1550557240,2023-11-21 14:56:35,жен,старше 55 лет,отрицательное,День города 
1550553748,2023-11-21 14:53:57,жен,46 - 55 лет,положительное,"Мероприятия для школьников (музыкально-развлекательные) в сентябре, семейные спортивные в декабре-феврале"
1550552990,2023-11-21 14:53:22,жен,36 - 45 лет,положительное,День нептуна
1550552678,2023-11-21 14:53:09,жен,46 - 55 лет,положительное,Мастер классы по старинным ремеслам
1550551058,2023-11-21 14:51:57,жен,46 - 55 лет,положительное,"День химика , День города "
1550550829,2023-11-21 14:51:47,жен,до 35 лет,отрицательное,Концерты
1550297344,2023-11-21 11:27:20,муж,до 35 лет,положительное,Спортивное  мероприятие
1550296774,2023-11-21 11:26:53,муж,до 35 лет,положительное,Дикая Мята
1550290892,2023-11-21 11:22:04,жен,36 - 45 лет,положительное,Фестиваль сказок
1550279667,2023-11-21 11:13:02,жен,36 - 45 лет,положительное,Гастрономические туры
